iryoken2_code,iryoken2_name,pref_name,n_specialists
4309,芦北,熊本県,1
4310,球磨,熊本県,0
4311,天草,熊本県,0
4312,熊本・上益城,熊本県,18
4401,東部,大分県,1
4403,中部,大分県,11
4405,南部,大分県,1
4406,豊肥,大分県,1
4408,西部,大分県,0
4409,北部,大分県,0
4501,宮崎東諸県,宮崎県,18
4502,都城北諸県,宮崎県,1
4503,延岡西臼杵,宮崎県,0
4504,日南串間,宮崎県,1
4505,西諸,宮崎県,1
4506,西都児湯,宮崎県,0
4507,日向入郷,宮崎県,0
4601,鹿児島,鹿児島県,13
4603,南薩,鹿児島県,0
4605,川薩,鹿児島県,1
4606,出水,鹿児島県,0
4607,姶良・伊佐,鹿児島県,0
4609,曽於,鹿児島県,0
4610,肝属,鹿児島県,3
4611,熊毛,鹿児島県,0
4612,奄美,鹿児島県,0
4701,北部,沖縄県,1
4702,中部,沖縄県,8
4703,南部,沖縄県,12
4704,宮古,沖縄県,0
4705,八重山,沖縄県,0
