area_code,area_name,pref_code,pref_name,population_2020,source,retrieved_on,pop_0_4,pop_5_9,pop_10_14,pop_15_19,pop_20_24,pop_25_29,pop_30_34,pop_35_39,pop_40_44,pop_45_49,pop_50_54,pop_55_59,pop_60_64,pop_65_69,pop_70_74,pop_75_79,pop_80_84,pop_85_89,pop_90_94,pop_95_99,pop_100plus,pop_65plus,pop_age_unknown,pop_total_census
0904,県東,09,栃木県,138202,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,4668,5842,6354,6205,5257,5627,7068,8276,9289,10171,8376,8508,9930,11622,10970,6697,5324,3995,2108,642,70,41428,1203,138202
0905,県南,09,栃木県,476915,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,16645,19362,20925,22602,21880,22172,24918,28072,31855,36862,31248,28917,30725,34910,35032,25222,17846,11624,6119,1712,207,132672,8060,476915
0906,両毛,09,栃木県,260974,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,7886,9472,10829,11733,10465,10855,12309,14242,16530,19692,17739,16641,16607,19446,21829,16236,11875,8206,3823,1077,152,82644,3330,260974
1001,前橋,10,群馬県,332149,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,10919,12406,13439,14918,13930,13850,15208,17228,19821,23999,21365,19850,19392,22126,24308,18788,14143,10100,5290,1403,232,96390,19434,332149
1002,渋川,10,群馬県,110589,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,3692,4378,4771,4962,4447,4534,5265,6071,7319,7944,7032,6973,7284,8836,8869,6468,5040,3607,1844,517,91,35272,645,110589
1003,伊勢崎,10,群馬県,247904,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,9377,10492,11414,12503,12260,12645,13105,14638,17307,19665,17254,15254,13953,15287,16529,12071,8597,5905,2965,806,133,62293,5744,247904
1004,高崎・安中,10,群馬県,427880,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,15130,17219,19170,20169,18806,18933,20826,23934,28466,33776,29319,26096,24436,28332,32189,24731,18012,12696,6671,1848,308,124787,6813,427880
1005,藤岡,10,群馬県,66034,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,1827,2332,2845,3012,2762,2767,2822,3290,4057,5035,4366,4173,4326,5185,5707,4151,3198,2280,1131,320,43,22015,405,66034
1006,富岡,10,群馬県,68124,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,1739,2304,2700,2898,2475,2500,2717,3122,3753,4776,4203,4397,4970,5811,6081,4469,3764,2795,1589,434,56,24999,571,68124
1007,吾妻,10,群馬県,51619,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,1195,1496,1890,1938,1716,1839,1893,2130,2548,3333,3172,3573,3887,4810,4734,3636,3119,2401,1326,390,54,20470,539,51619
1008,沼田,10,群馬県,76958,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,2143,2585,3050,3354,2625,2613,3129,3733,4292,5160,4755,5164,5917,6684,6576,4753,4050,3324,2034,501,67,27989,449,76958
1009,桐生,10,群馬県,156093,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,4184,5307,6386,7164,6966,5698,6155,7471,9497,12025,10703,9935,9839,11387,13931,10954,7980,5455,2630,750,137,53224,1539,156093
1010,太田・館林,10,群馬県,401760,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,14270,16973,18671,19515,18984,19930,20884,23875,28039,32856,27633,23093,22040,26353,30539,22370,14598,9325,4557,1316,232,109290,5707,401760
1101,南部,11,埼玉県,809456,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,32068,34166,34341,35031,44489,50090,50826,53988,59235,70128,61666,50567,38889,39997,46497,38210,28032,16955,6593,1666,285,178235,15737,809456
1102,南西部,11,埼玉県,730325,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,29602,32563,31827,33131,40417,40226,41545,47562,53859,63697,55868,44549,34390,36566,44802,38184,28126,15897,6131,1504,250,171460,9629,730325
1103,東部,11,埼玉県,1155470,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,41944,46090,48678,50847,58400,58536,60863,69023,80200,99644,85870,67565,57244,67653,83970,69570,47049,23613,8591,2250,359,303055,27511,1155470
1104,さいたま,11,埼玉県,1324025,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,53391,57341,58073,59926,70873,73863,77675,84956,93961,110150,98229,83251,68327,67824,78953,64765,46959,29392,13179,3346,574,304992,29017,1324025
1105,県央,11,埼玉県,528558,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,17280,20316,22484,24060,24304,23294,25410,29089,34560,43642,37684,32054,29523,34195,40194,33709,23219,12699,4898,1296,228,150438,14420,528558
